Source,Target,Type,Id,Label,Weight
Canja de Galinha Nutritiva,salsa picada,Undirected,766,,1
alho-poró,Sopa de Capeletti,Undirected,767,,1
Sopa de Feijão com Macarrão,feijão cozido,Undirected,768,,1
Sopa de Feijão com Macarrão,macarrão,Undirected,769,,1
Sopa de Feijão com Macarrão,cenoura em cubinhos,Undirected,770,,1
Sopa de Cebola,batatas pré-cozidas,Undirected,771,,1
Sopa de Cebola,cebola fatiada,Undirected,772,,1
Sopa de Capeletti,capeletti,Undirected,773,,1
Sopa de Tomate com Manjericão,manjericão,Undirected,774,,1
Sopa de Tomate com Manjericão,suco de laranja,Undirected,775,,1
Sopa de Tomate com Manjericão,rum,Undirected,776,,1
Pão de Queijo de Liquidificador,polvilho doce,Undirected,777,,1
Enroladinho de Salsicha Fácil,salsicha,Undirected,778,,1
Enroladinho de Salsicha Fácil,massa para pastel,Undirected,779,,1
Enroladinho de Salsicha Fácil,óleo de milho,Undirected,780,,1
Esfiha Aberta Tipo Habib's,fermento biológico seco,Undirected,781,,1
Esfiha Aberta Tipo Habib's,açúcar refinado,Undirected,782,,1
Esfiha Aberta Tipo Habib's,água morna,Undirected,783,,1
Esfiha Aberta Tipo Habib's,queijo branco,Undirected,784,,1
Esfiha Aberta Tipo Habib's,hortelã,Undirected,785,,1
água morna,Pudim de Leite Condensado Nestlé,Undirected,786,,1
Pão de Alho Caseiro,pão francês,Undirected,787,,1
Croquete de Carne,batata,Undirected,788,,1
Croquete de Carne,carne moída cozida,Undirected,789,,1
Bolo de Cenoura com Cobertura de Brigadeiro,leite condensado,Undirected,790,,1
Bolo de Cenoura com Cobertura de Brigadeiro,chocolate em pó,Undirected,791,,1
Bolo de Cenoura com Cobertura de Brigadeiro,chocolate granulado,Undirected,792,,1
leite condensado,Pudim de Leite Condensado Nestlé,Undirected,793,,1
leite condensado,Brigadeirão Cremoso,Undirected,794,,1
leite condensado,Manjar de Coco com Calda de Ameixa,Undirected,795,,1
leite condensado,Torta de Limão Clássica com Merengue,Undirected,796,,1
chocolate em pó,Brigadeirão Cremoso,Undirected,797,,1
Brigadeirão Cremoso,leite de vaca,Undirected,798,,1
Quindim Fácil,coco ralado seco,Undirected,799,,1
Quindim Fácil,margarina derretida,Undirected,800,,1
Quindim Fácil,gemas de ovo,Undirected,801,,1
